date,competitor,metric,size_sqft,rack_rate_pw_gbp,offer_rate_pw_gbp,promo_text,source_url,notes
2026-08-13,Shurgard Basildon,from_price,,,8.08,£1 first month's rent (new customers; selected units),https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,Starting price shown on Essex region page
2026-08-13,Shurgard Basildon,featured_unit,20,15.69,8.08,£1 first month's rent; special web price,https://www.shurgard.com/en-gb/self-storage-uk/essex,Regular vs special weekly rate server-rendered on region page
2026-08-13,Shurgard Basildon,featured_unit,20,17.77,8.77,£1 first month's rent; special web price,https://www.shurgard.com/en-gb/self-storage-uk/essex,Second featured 20 sq ft unit (different floor/features)
2026-08-13,Storage King Basildon,from_price,10,,7.00,50% off for up to 3 months (new customers),https://www.storageking.co.uk/stores/basildon/,£7.00/wk stated as discount-included; rack rate not published
2026-08-13,Storage King Basildon,promo,,,,50% off up to 3 months; Price Match Promise; prepay savings for 6+ months,https://www.storageking.co.uk/stores/basildon/,Per-size prices only via quote form or phone 01268 282 148
2026-08-13,Safestore Basildon,promo,,,,£1 first month (no min stay) OR 50% off up to 8 weeks; will beat any local comparable quote by 10% for first 8 weeks,https://www.safestore.co.uk/self-storage/east-of-england/basildon/,Unit prices not published; quote flow disallowed by robots.txt; phone 01268 271 887
2026-08-13,Big Top (own),promo,,,,Homepage: £1 for first 6 weeks; 10% Blue Light discount; 10% student discount; refer-a-friend 50% off next bill,https://www.bigtopselfstorage.com/,Own store benchmark; NOTE homepage and /pricing advertise different lead offers
2026-08-13,Big Top (own),promo,,,,/pricing page: 50% off first 8 weeks; refer a friend £50 off both; student summer storage from £35/month + free box,https://www.bigtopselfstorage.com/pricing,Inconsistent with homepage £1-for-6-weeks offer — flagged to Vikas 2026-08-13
2026-08-13,Big Top (own),from_price,,,8.08,Student summer storage from £35/month ≈ £8.08/wk,https://www.bigtopselfstorage.com/pricing,Only public price on site; monthly ÷ 4.33
2026-08-13,Make Space Wickford,promo,,,,50% off first 12 weeks; min 6 weeks complimentary storage during tenure; free move-in van hire; prepay & extended-stay discounts; 15% off 15+ boxes; £20 voucher with quotes,https://www.makespaceselfstorage.co.uk/storage-location-wickford/,No public unit prices; quote flow robots-permitted so automatable via GitHub sweep; sizes 10-250 sq ft
2026-08-13,Make Space Wickford,promo,,,,Lowest Price Guarantee: match competitor quote +10% off for first 8 weeks then price match (5-mile radius outside M25 — covers Basildon),https://www.makespaceselfstorage.co.uk/storage-location-wickford/,Their guarantee radius reaches Big Top's catchment
2026-08-14,Shurgard Basildon,unit,20,15.69,8.08,£1 first month's rent; special web price,https://www.shurgard.com/en-gb/self-storage-uk/essex/basildon,"Locker 20 sq ft; from GitHub sweep (store page, full list)"
